# @@@    : I don't know what to do here.
# note.1 : I've kept the ending of the compound verb against the etymologies.
#          e.g. ἀναβάλλομαι is ἀνά+βάλλομαι not ἀνά+βάλλω
# note.2 : The etymologies I've looked at don't given the immediate analysis so
#          I've inferred it.
#          e.g. ἀναλογίζομαι is ἀνά+λογίζομαι not ἀνά+λογία (or similar)
# note.3 : I break down all preverbs individually.
# note.4 : How to handle ambiguity?
#          e.g. σύνειμι could be σύν+εἰμί or σύν+εἶμι
# note.5 : augments as καθίζω not κατά+ἵζω
# note.6 : augments as διά+ἀνοίγω not διά+ἀνά+οἴγω

ἀμφιάζω|@@@
ἐπαγγέλλομαι|ἐπί+ἀγγέλλομαι # note.1
ἐπάγω|ἐπί+ἄγω
ἐπαγωνίζομαι|ἐπί+ἀγωνίζομαι
ἐπαθροίζομαι|ἐπί+ἀθροίζομαι # note.1
ἐπαινέω|ἐπί+αἰνέω # note.2
ἐπαίρω|ἐπί+αἴρω
ἐπαισχύνομαι|ἐπί+αἰσχύνομαι # note.1
ἐπαιτέω|ἐπί+αἰτέω
ἐπακολουθέω|ἐπί+ἀκολουθέω
ἐπακούω|ἐπί+ἀκούω
ἐπακροάομαι|ἐπί+ἀκροάομαι # note.2
ἐπανάγω|ἐπί+ἀνά+ἄγω # note.3
ἐπαναμιμνῄσκω|ἐπί+ἀνά+μιμνῄσκω # note.3
ἐπαναπαύομαι|ἐπί+ἀνά+παύω # note.3
ἐπανέρχομαι|ἐπί+ἀνά+ἔρχομαι # note.3
ἐπανίσταμαι|ἐπί+ἀνά+ἵσταμαι # note.2 note.3
ἐπαρκέω|ἐπί+ἀρκέω
ἐπαφρίζω|ἐπί+ἀφρίζω # note.2
ἐπεγείρω|ἐπί+ἐγείρω
ἔπειμι|ἐπί+εἶμι
ἐπεισέρχομαι|ἐπί+εἰς+ἔρχομαι # note.3
ἐπεκτείνομαι|ἐπί+ἐκ+τείνω # note.3
ἐπενδύομαι|ἐπί+ἐν+δύω # note.3
ἐπέρχομαι|ἐπί+ἔρχομαι
ἐπερωτάω|ἐπί+ἐρωτάω
ἐπέχω|ἐπί+ἐχω
ἐπιβαίνω|ἐπί+βαίνω
ἐπιβάλλω|ἐπί+βάλλω
ἐπιβαρέω|ἐπί+βαρέω # note.2
ἐπιβιβάζω|ἐπί+βιβάζω
ἐπιβλέπω|ἐπί+βλέπω
ἐπιγαμβρεύω|ἐπί+γαμβρός
ἐπιγίνομαι|ἐπί+γίνομαι
ἐπιγινώσκω|ἐπί+γινώσκω
ἐπιγράφω|ἐπί+γράφω
ἐπιδείκνυμι|ἐπί+δείκνυμι
ἐπιδέχομαι|ἐπί+δέχομαι
ἐπιδημέω|ἐπί+δημέω
ἐπιδιατάσσομαι|ἐπί+διατάσσομαι # note.1
ἐπιδίδωμι|ἐπί+δίδωμι
ἐπιδιορθόω|ἐπί+διά+ὀρθόω # note.2 note.3
ἐπιδύω|ἐπί+δύω
ἐπιζητέω|ἐπί+ζητέω
ἐπιθυμέω|ἐπί+θυμέω
ἐπικαθίζω|ἐπί+καθίζω # note.5
ἐπικαλέω|ἐπί+καλέω
ἐπικαλύπτω|ἐπί+καλύπτω
ἐπίκειμαι|ἐπί+κεῖμαι
ἐπικέλλω|ἐπί+κέλλω
ἐπικρίνω|ἐπί+κρίνω
ἐπιλαμβάνομαι|ἐπί+λαμβάνομαι # note.1
ἐπιλανθάνομαι|ἐπί+λανθάνομαι # note.1
ἐπιλέγω|ἐπί+λέγω
ἐπιλείπω|ἐπί+λείπω
ἐπιλείχω|ἐπί+λείχω
ἐπιλύω|ἐπί+λύω
ἐπιμαρτυρέω|ἐπί+μαρτυρέω
ἐπιμελέομαι|ἐπί+μελέομαι # note.1
ἐπιμένω|ἐπί+μένω
ἐπινεύω|ἐπί+νεύω
ἐπιορκέω|ἐπί+ὁρκέω # note.2
ἐπιπίπτω|ἐπί+πίπτω
ἐπιπλήσσω|ἐπί+πλήσσω
ἐπιποθέω|ἐπί+ποθέω
ἐπιπορεύομαι|ἐπί+πορεύομαι
ἐπιράπτω|ἐπί+ῥάπτω
ἐπιρίπτω|ἐπί+ῥίπτω
ἐπισκέπτομαι|ἐπί+σκέπτομαι
ἐπισκευάζομαι|ἐπί+σκευάζομαι # note.1
ἐπισκηνόω|ἐπί+σκηνόω # note.2
ἐπισκιάζω|ἐπί+σκιάζω
ἐπισκοπέω|ἐπί+σκοπέω
ἐπισπάομαι|ἐπί+σπάομαι # note.1
ἐπισπείρω|ἐπί+σπείρω
ἐπίσταμαι|ἐπί+ἵσταμαι
ἐπιστέλλω|ἐπί+στέλλω
ἐπιστηρίζω|ἐπί+στηρίζω
