ᾅδης n-1f -- M n-1f ᾁδ GS ᾅδου ᾅδ ου α!+ου
ᾅδης n-1f -- M n-1f ᾁδ DS ᾅδῃ ᾅδ ῃ η+ι
ᾅδης n-1f -- M n-1f ᾁδ AS ᾅδην ᾅδ ην η+ν
ἀδιάκριτος a-3a -- F n-2b ἀδιακριτ NS ἀδιάκριτος ἀδιάκριτ ος ο+ς
ἀδιάλειπτος a-3a -- F n-2b ἀδιαλειπτ NS ἀδιάλειπτος ἀδιάλειπτ ος ο+ς
ἀδιάλειπτος a-3a -- F n-2b ἀδιαλειπτ AS ἀδιάλειπτον ἀδιάλειπτ ον ο+ν
ἀδικέω verb PA M n=3c(5b-OU) ἀδικ NS ἀδικῶν ἀδικ ῶν ουντ+
ἀδικέω verb PM M n-2a ἀδικουμεν AS ἀδικούμενον ἀδικούμεν ον ο+ν
ἀδικέω verb PM M n-2a ἀδικουμεν NP ἀδικούμενοι ἀδικούμεν οι ο+ι
ἀδικέω verb AA M n=3c(5a-1A) ἀδικησα GS ἀδικήσαντος ἀδικήσα ντος ντ+ος
ἀδικέω verb AP M n=3c(5a-EPSILON) ἀδικηθ GS ἀδικηθέντος ἀδικηθ έντος εντ+ος
ἀδίκημα n-3c(4) -- N n-3c(4) ἀδικημα NS ἀδίκημα ἀδίκημα _ τ+
ἀδίκημα n-3c(4) -- N n-3c(4) ἀδικημα AS ἀδίκημα ἀδίκημα _ τ+
ἀδίκημα n-3c(4) -- N n-3c(4) ἀδικημα AP ἀδικήματα ἀδικήμα τα τ+α
ἀδικία n-1a -- F n-1a ἀδικι NS ἀδικία ἀδικί α α+
ἀδικία n-1a -- F n-1a ἀδικι GS ἀδικίας ἀδικί ας α+ς
ἀδικία n-1a -- F n-1a ἀδικι DS ἀδικίᾳ ἀδικί ᾳ α+ι
ἀδικία n-1a -- F n-1a ἀδικι AS ἀδικίαν ἀδικί αν α+ν
ἀδικία n-1a -- F n-1a ἀδικι DP ἀδικίαις ἀδικί αις α+ις
ἄδικος a-3a -- M n-2a ἀδικ NS ἄδικος ἄδικ ος ο+ς
ἄδικος a-3a -- M n-2a ἀδικ DS ἀδίκῳ ἀδίκ ῳ ο+ι
ἄδικος a-3a -- M n-2a ἀδικ NP ἄδικοι ἄδικ οι ο+ι
ἄδικος a-3a -- M n-2a ἀδικ GP ἀδίκων ἀδίκ ων +ων
ἄδικος a-3a -- M n-2a ἀδικ AP ἀδίκους ἀδίκ ους ο+νς
ἀδόκιμος a-3a -- M n-2a ἀδοκιμ NS ἀδόκιμος ἀδόκιμ ος ο+ς
ἀδόκιμος a-3a -- M n-2a ἀδοκιμ AS ἀδόκιμον ἀδόκιμ ον ο+ν
ἀδόκιμος a-3a -- M n-2a ἀδοκιμ NP ἀδόκιμοι ἀδόκιμ οι ο+ι
ἀδόκιμος a-3a -- F n-2b ἀδοκιμ NS ἀδόκιμος ἀδόκιμ ος ο+ς
ἄδολος a-3a -- N n-2c ἀδολ AS ἄδολον ἄδολ ον ο+ν
ἁδρότης n-3c(1) -- F n-3c(1) ἁδροτη DS ἁδρότητι ἁδρότη τι τ+ι
ἀδύνατος a-3a -- M n-2a ἀδυνατ NS ἀδύνατος ἀδύνατ ος ο+ς
ἀδύνατος a-3a -- M n-2a ἀδυνατ GP ἀδυνάτων ἀδυνάτ ων +ων
ἀδύνατος a-3a -- N n-2c ἀδυνατ NS ἀδύνατον ἀδύνατ ον ο+ν
ἀδύνατος a-3a -- N n-2c ἀδυνατ AS ἀδύνατον ἀδύνατ ον ο+ν
